pc,term,OR,ci_lo,ci_hi,p,beta,se,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif,p_fdr
C8,delecoes,0.6175278200784721,0.36952601563955334,1.0319722899911887,0.06578665243404089,-0.4820311587361907,0.261991313597623,0.3897664251066737,0.28343556915773804,0.09834961595979173,0.07151919093179795,13797,47,0.0034065376531129954,2514,617,3.263054469491074,0.3388625487995854
A4,(intercept),0.0019757879758565008,0.001326574028291058,0.0029427216591659568,4.024534977033453e-206,-6.226787985081245,0.2032487722612506,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,
A4,testes,0.9603143462693987,0.5385876313751456,1.712262944650644,0.8908382290714211,-0.04049460408772816,0.2950563567238603,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.960904157200634
A4,alteracoes,1.069768319321201,0.5510669049794955,2.0767065608229354,0.8420485660673105,0.06744210103023203,0.33843936407431013,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.951019556970139
A4,erros_logica,1.2807574980148675,0.8878737994460474,1.8474920306745473,0.18557403098072922,0.24745169821384416,0.18692722553287341,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.5378889327087236
A4,erros_sintaxe,1.123456025025206,0.8116667469619635,1.555014351505253,0.4827554591515453,0.11640967082265928,0.16585464491315158,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.7990435185956611
A4,tempo,0.641208623037565,0.3256463149279521,1.2625614951260693,0.19859531154702292,-0.4444004100564975,0.3456852041063153,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.5378889327087236
A4,delecoes,1.8283420431421349,0.9428496246694876,3.5454589356101978,0.07412618254990931,0.6034095688447114,0.33788675649736116,0.3566624762008049,0.14584006361145738,0.09404736691279691,0.038456173240187415,13797,31,0.0022468652605638906,2514,617,3.263054469491074,0.3388625487995854
A5,(intercept),0.0012673035469247657,0.0007576220208764939,0.0021198674745357073,1.735508575573973e-142,-6.670863827075812,0.26248067490417354,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,
A5,testes,2.264102683425592,0.9710286565434441,5.279103687158402,0.058499690033188056,0.8171785141823965,0.43192745556405926,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.3388625487995854
A5,alteracoes,0.9867974611332628,0.43814251476529525,2.222494271802597,0.9744054010683663,-0.013290467158312757,0.4142451929562518,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.9899583926068595
A5,erros_logica,0.7603695435699065,0.4525773950438134,1.2774872300741773,0.30072468046282885,-0.2739507223395201,0.26471722926389835,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.6479286160455402
A5,erros_sintaxe,0.7550610452781348,0.4398413817893133,1.2961881389541448,0.308182452618291,-0.280956678328649,0.2757063442187957,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.6479286160455402
A5,tempo,0.4807882516909989,0.21891675008117586,1.055914373287437,0.06808328568799975,-0.7323283309785642,0.40139562605762563,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.3388625487995854
A5,delecoes,1.4707254743052314,0.6677252376772547,3.2394064185662117,0.3383107844432486,0.38575579898526585,0.4028746479024549,0.5672421723616179,0.12304089040332887,0.14251774476957843,0.030913622204282048,13797,22,0.0015945495397550191,2514,617,3.263054469491074,0.6565313593514379
C1,(intercept),0.0002680655411940121,8.285046326653903e-05,0.0008673353357658348,6.8810408319451515e-43,-8.224279050658456,0.5990786590913045,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,
C1,testes,2.694461051528331,0.6274173008824016,11.571437937705102,0.1825065598928074,0.9911982034820924,0.7435416385540872,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.5378889327087236
C1,alteracoes,0.8797873300671646,0.15273128010362577,5.0678927435267065,0.8860041784227018,-0.1280750710950986,0.8933674336013239,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.960904157200634
C1,erros_logica,0.9235227594139578,0.45070542926053403,1.8923541448233767,0.827919936348347,-0.0795598349102355,0.3660109531444444,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.951019556970139
C1,erros_sintaxe,0.8788754020640542,0.4470204070503516,1.727934474960667,0.7081608416730429,-0.12911214098710436,0.3449178015648242,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.9064458773414951
C1,tempo,0.5665105804868558,0.12011548061028139,2.6718807282205033,0.4727014723939943,-0.5682595217478775,0.7913480299918165,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.7990435185956611
C1,delecoes,2.972146528455412,0.6649648659057324,13.284393566534447,0.1538992213287612,1.0892844286197745,0.7639313783501244,0.3403454857741635,0.11197454504452276,0.09094825562259261,0.029922211316445353,13797,8,0.0005798361962745524,2514,617,3.263054469491074,0.5155452567276168
C3,(intercept),9.089037059546475e-05,1.2220425405292576e-05,0.0006760042464154413,9.904723293183022e-20,-9.30585649643554,1.0237476000888508,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,
C3,testes,1.3948097013771448,0.21665943625312298,8.979503208818842,0.7261612336705632,0.33275799118457733,0.9500951875721442,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.9172562951628166
C3,alteracoes,7.951740492825243,0.5201587140112888,121.55939170494099,0.1361665901079323,2.0733908346197087,1.3913327190529665,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.513500402833473
C3,erros_logica,1.7341758535942124,0.652409414382888,4.609629819695157,0.26970140664525255,0.5505322882070929,0.49878329906220736,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.6314959765352255
C3,erros_sintaxe,0.9053372638672502,0.35349840377597086,2.3186400634105317,0.8358032075998945,-0.09944773744877569,0.4798104957613059,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.951019556970139
C3,tempo,0.7324513924155059,0.09122389786284954,5.88097039065346,0.7695515794105645,-0.31135829876986076,1.062795958922501,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.9284614372726553
C3,delecoes,0.4397345243501868,0.0749964292565443,2.5783421133828393,0.36259598168291196,-0.8215840879105265,0.902413616623179,0.3398803839616002,0.11155793466109626,0.09084537401391331,0.02981790881950985,13797,4,0.0002899180981372762,2514,617,3.263054469491074,0.6567776271992367
B10,(intercept),6.354225547015539e-07,3.54897883232017e-10,0.0011376845061639531,0.0001885896889389401,-14.268975618886172,3.8215384703135413,0.33909100041077406,0.11124403367008355,0.09066111791255596,0.029742778314417746,13797,1,7.247952453431905e-05,2514,617,3.263054469491074,
B10,testes,7.965066656014871,0.0763587119713454,830.8454293803109,0.3814952501784963,2.0750653119415428,2.371111459210986,0.33909100041077406,0.11124403367008355,0.09066111791255596,0.029742778314417746,13797,1,7.247952453431905e-05,2514,617,3.263054469491074,0.6782137780951045
B10,alteracoes,43.3317630386186,0.11015351964204047,17045.68037532215,0.21632138846892301,3.768885923560536,3.048350090118112,0.33909100041077406,0.11124403367008355,0.09066111791255596,0.029742778314417746,13797,1,7.247952453431905e-05,2514,617,3.263054469491074,0.5464961392899108
B10,erros_logica,1.2039725801198529,0.16694715461390208,8.682687506910936,0.8538949515927947,0.18562657264046503,1.0080125146536136,0.33909100041077406,0.11124403367008355,0.09066111791255596,0.029742778314417746,13797,1,7.247952453431905e-05,2514,617,3.263054469491074,0.9531850622431197
