question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1644,80,1,7,0,0,0,0,79,1,0,0,0,0,0,0,0,3,0,0,0,61,0,1
1645,75,0,3,0,0,0,0,74,1,0,0,0,0,0,0,0,1,0,0,0,58,0,1
1646,98,3,3,0,0,0,0,98,1,0,0,0,0,0,0,0,2,0,0,0,81,0,0
1647,88,1,8,0,0,0,0,85,0,0,0,0,0,0,0,0,1,0,0,0,67,0,0
1648,76,1,8,0,0,0,0,73,0,0,0,0,0,0,0,0,1,0,0,0,59,0,1
1649,71,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
1650,45,0,0,1,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1651,42,0,4,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1652,46,0,4,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0
1653,54,0,4,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
1654,53,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1655,47,0,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
1656,49,0,10,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,39,0,0
1657,42,0,7,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
1658,69,0,10,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
1833,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
1834,25,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1835,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1
1836,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1837,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1838,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
1839,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1840,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1841,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1842,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1937,29,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
1938,30,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1939,21,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1940,20,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1941,28,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1942,26,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
1943,17,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1944,25,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1945,35,0,3,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
1946,23,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2
1977,24,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0
1978,20,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1979,19,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1980,25,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1981,36,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1982,27,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1983,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0
1985,25,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1986,22,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1987,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1
1988,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1989,39,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1
1990,27,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1991,29,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1992,31,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1993,18,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1994,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
1995,24,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1996,27,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2030,28,1,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2031,50,5,4,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,42,0,1
2032,40,2,1,0,0,0,0,35,1,0,1,0,1,0,0,0,0,0,0,0,36,0,1
2033,24,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2034,43,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0
2035,55,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
2036,34,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2037,44,4,3,2,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1
2038,59,3,4,0,0,0,0,40,0,0,1,0,1,0,0,0,0,0,0,0,50,0,0
2039,30,3,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2121,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2122,26,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2123,28,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
2124,26,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
